scenario_cls,BaseSAVPolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label,scenario_label
SAVScenario,RFC8704,DATA,all_wout_ixps,FILTERED_ON_PATH,0.2,0,18.181818181818183,35.38602983435718,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.0,0.0,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FORWARD,0.2,0,0.0,0.0,,rfc8704
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,61.81818181818182,45.72021850522248,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,76.36363636363636,39.29706989686813,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,2.727272727272727,5.520761715321117,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,58.18181818181818,44.794214502461834,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,strict
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,83.63636363636364,35.56501949346082,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,0.9090909090909091,3.5636363636363644,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,21.818181818181817,38.04922431632976,,feasible
